기준일ID,시군구코드,시군구명,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20211230,11500,강서구,553483.02360,537571.25580,9337.00490,6574.76300,572816.56460,534016.29080,538323.11380,564311.53070,248289.67820,69144.52610,113883.67800,65261.47410
20211230,11530,구로구,423451.98810,386419.62070,31011.79850,6020.56890,433965.12490,409122.16280,416295.06460,428564.07630,206040.97290,64010.43450,74068.88440,67961.65400
20211230,11545,금천구,247601.77590,227581.05700,16898.46590,3122.25300,274362.12910,222235.85470,269314.61720,232092.60350,161628.31410,61057.99300,45289.31210,55281.00900
20211230,11560,영등포구,519365.87180,476656.88030,38993.52960,3715.46190,586263.30670,457002.71220,574904.54200,479695.39320,349482.94280,94371.35270,90205.09990,164906.49020
20211230,11590,동작구,389616.81830,373041.09100,13424.35990,3151.36740,418733.36400,356025.15710,362673.24760,408862.22590,160755.65520,31825.66480,64946.76650,63983.22390
20211230,11620,관악구,480522.65700,456795.20790,20347.73120,3379.71790,529487.98580,423279.43640,434937.98770,513083.13510,189838.94590,33597.62090,99103.79940,57137.52560
20211230,11650,서초구,585307.17550,566827.82750,13490.87100,4988.47710,697971.20560,479413.63110,678245.23160,518922.84980,412270.64220,133993.97390,80667.86530,197608.80300
20211230,11680,강남구,846623.62970,817631.00780,19763.32280,9229.29910,1057826.36860,665206.26830,1016468.82930,725305.62990,638670.70060,200611.58060,123914.81050,314144.30950
20211230,11710,송파구,761932.41490,743526.59050,13763.95790,4641.86660,776507.60430,746813.23300,771415.29280,755158.93080,383830.74730,113155.97600,150697.17110,119977.60020
20211230,11740,강동구,511026.86500,500447.10050,8945.97250,1633.79200,546667.40040,470282.12720,478266.10200,534427.41000,234292.22310,48405.26500,140846.47980,45040.47830
20211229,11000,서울시,10849981.45860,10381402.58810,374774.70830,93804.16220,11168723.09430,10557545.75160,11115151.54730,10660574.25240,5951847.18940,1460637.87080,2053333.71390,2437875.60470
20211229,11110,종로구,295996.82050,277392.11930,14872.36820,3732.33300,396780.54260,219549.77200,369840.71500,243251.18150,258330.53250,66589.50460,30808.00800,160933.01990
20211229,11140,중구,301688.22400,272241.98740,18795.62910,10650.60760,436441.36380,195200.09260,406221.65510,227021.48760,309779.49270,82986.94120,30189.60520,196602.94630
20211229,11170,용산구,303950.86670,282658.47630,17249.13940,4043.25110,333540.22670,275015.04690,327801.39130,286914.77770,186054.15320,50823.53370,45027.09690,90203.52260
20211229,11200,성동구,367536.70570,349511.83460,15519.82350,2505.04760,393432.15350,340609.34680,387683.08010,353146.43830,217284.02630,45133.34480,58906.20520,113244.47630
20211229,11215,광진구,372609.17550,349694.55970,20103.35260,2811.26320,389858.77280,346359.88760,354693.24770,385406.26670,168773.60680,32725.42920,74499.47990,61548.69770
20211229,11230,동대문구,363561.80310,338038.87410,22982.74440,2540.18460,373758.29250,349693.86380,358468.10060,367200.16200,179393.63370,30823.13850,70087.09310,78483.40210
20211229,11260,중랑구,353056.93040,346308.38760,5673.79310,1074.74970,386797.26210,312583.33760,322216.74780,375085.63240,153241.27010,25216.70150,90439.55410,37585.01450
20211229,11290,성북구,422200.80440,405994.11290,14280.95310,1925.73840,451261.72960,386071.22650,394447.98950,442024.24360,170374.45340,22057.22780,82140.76110,66176.46450
20211229,11305,강북구,292179.18840,286693.84470,4698.22850,787.11520,317111.10320,265819.86270,271001.14270,307306.36390,177090.42460,13249.20890,117724.20170,46117.01400
